x,y
5520,12194
4956.30908203125,12140.48046875
4401.75390625,12026.5009765625
3864.49853515625,11848.0224609375
3351.330810546875,11608.8505859375
2867.888427734375,11314.21484375
2421.431396484375,10966.0576171875
2012.9969482421875,10573.83984375
1644.521484375,10143.95703125
1326.733154296875,9675.4150390625
1061.92333984375,9174.93359375
847.4508056640625,8650.8955078125
685.6993408203125,8108.251953125
574.4899291992188,7552.99462890625
507.3326110839844,6990.65087890625
487.83349609375,6424.7216796875
499.1112365722656,5858.46337890625
558.458984375,5295.2353515625
660.7943725585938,4738.263671875
812.3228149414062,4192.662109375
1015.829345703125,3664.264892578125
1269.406982421875,3157.966552734375
1571.4764404296875,2679.072265625
1924.1195068359375,2236.15673828125
2325.004150390625,1836.376220703125
2767.255859375,1482.8297119140625
3244.72998046875,1178.5048828125
3752.06494140625,927.4808349609375
4288.15625,745.6912841796875
4842.00732421875,628.1328125
5404.63916015625,563.8226928710938
5970.7958984375,552.7020874023438
6536.46875,578.4111328125
7095.5234375,667.8587036132812
7640.119140625,822.423583984375
8159.7607421875,1046.801025390625
8642.525390625,1342.1927490234375
9077.4638671875,1704.3310546875
9456.9951171875,2124.2431640625
9778.1650390625,2590.404296875
10042.2158203125,3091.230712890625
10253.1474609375,3616.718505859375
10365.7333984375,4135.33642578125
9823.2607421875,4298.42333984375
9384.2392578125,4231.64794921875
9166.55859375,3708.8115234375
8907.2490234375,3205.41455078125
8596.7607421875,2732.02099609375
8219.9560546875,2309.918701171875
7781.501953125,1953.328857421875
7273.919921875,1704.6781005859375
6721.697265625,1584.469482421875
6156.41943359375,1590.589599609375
5606.43798828125,1721.12158203125
5101.93798828125,1975.5977783203125
4672.857421875,2343.712646484375
4321.72119140625,2787.279296875
4054.5439453125,3285.88818359375
3870.642578125,3821.125
3758.143798828125,4376.00732421875
3694.461181640625,4938.77099609375
3659.749755859375,5504.134765625
3642.771240234375,6070.3212890625
3644.71337890625,6636.74609375
3668.4990234375,7202.669921875
3717.43212890625,7766.9560546875
3796.55712890625,8327.7763671875
3913.92724609375,8881.7939453125
4082.7734375,9422.208984375
4317.66162109375,9937.119140625
4638.88916015625,10402.4404296875
5061.79931640625,10776.650390625
5572.8564453125,11016.3994140625
6130.33349609375,11104.24609375
6694.873046875,11073.12890625
7234.482421875,10905.2275390625
7719.3046875,10614.73046875
8132.767578125,10228.7509765625
8476.99609375,9779.5546875
8759.8388671875,9289.08984375
8994.7685546875,8773.8232421875
9189.1396484375,8241.892578125
9434.9541015625,7801.9287109375
10001.03125,7822.787109375
10204.84765625,8210.02490234375
10180.3232421875,8775.953125
10155.86328125,9341.8857421875
10131.1806640625,9907.806640625
10106.5341796875,10473.73046875
10082.7265625,11039.693359375
10058.7470703125,11605.6474609375
10029.8349609375,12171.3173828125
9471.26171875,12180
9083.751953125,11967.8876953125
8806.1982421875,11494.2138671875
8255.5146484375,11545.46875
7724.37548828125,11742.2099609375
7189.06005859375,11927.255859375
6643.3603515625,12078.71875
6085.9345703125,12177.478515625
